state_abbr,sector_abbr,year,observed_solar_mw,observed_solar_count,observed_storage_mw,observed_storage_mwh
AL,com,2014,1.3662600000000005,33.0,0.025757576,0.059090909
AL,com,2016,2.8334599999999983,67.99999999999999,0.063636364,0.14242424199999998
AL,com,2018,18.97527298701301,99.00000000000006,0.110606061,0.257575758
AL,res,2014,0.5354200000000002,42.0,0.003030303,0.003030303
AL,res,2016,0.9054500000000004,72.99999999999999,0.109090909,0.16969697
AL,res,2018,1.2466499999999996,103.0,0.796969697,1.654545455
AR,com,2014,0.18578000000000006,13.0,0.025757576,0.059090909
AR,com,2016,1.9787356321839105,24.00000000000001,0.063636364,0.14242424199999998
AR,com,2018,4.888735632183911,64.99999999999996,0.110606061,0.257575758
AR,res,2014,0.414041,71.0,0.003030303,0.003030303
AR,res,2016,1.4581609195402292,184.99999999999997,0.109090909,0.16969697
AR,res,2018,7.051520114942527,771.0000000000003,0.796969697,1.654545455
AZ,com,2014,367.5801643000004,2505.000000000001,0.0,0.0
AZ,com,2016,425.20503130000037,3183.0000000000014,0.0,0.0
AZ,com,2018,497.66490028983765,3763.0000000000014,0.25,0.65
AZ,res,2014,332.39551266666274,47613.00000000002,0.1,0.3
AZ,res,2016,624.7453706666628,83892.00000000004,1.1,1.9
AZ,res,2018,1000.122085,130349.00000000006,6.9,14.5
CA,com,2014,1398.211216708219,13769.000000000005,2.7,5.5
CA,com,2016,2735.668661229891,21264.999999999996,32.8,67.45
CA,com,2018,4156.8960143064205,28870.0,91.65,202.25
CA,res,2014,1698.2999999999995,315405.0000000003,0.9,1.6
CA,res,2016,3771.7354843361786,641893.9999999999,3.0,5.9
CA,res,2018,5584.1078767093995,907930.0,52.5,116.5
CO,com,2014,156.56999999999996,1731.9999999999993,0.0,0.0
CO,com,2016,183.6831213793099,1860.9999999999993,0.0,0.0
CO,com,2018,243.50660931034508,2122.9999999999995,0.0,0.05
CO,res,2014,135.74999999999991,23178.0,0.0,0.0
CO,res,2016,212.37594827586213,34757.0,0.0,0.0
CO,res,2018,322.26094080459814,50919.99999999999,1.3,2.8
CT,com,2014,38.6213605,2921.0,0.025757576,0.059090909
CT,com,2016,110.4627455,9319.0,0.063636364,0.14242424199999998
CT,com,2018,151.3627065,11822.0,0.110606061,0.257575758
CT,res,2014,48.38300000000002,5675.000000000003,0.003030303,0.003030303
CT,res,2016,167.5989770114941,20990.000000000007,0.109090909,0.16969697
CT,res,2018,270.628072988506,32566.0,0.796969697,1.654545455
DE,com,2014,12.151959,362.0,0.071428571,0.114285714
DE,com,2016,14.146169000000002,486.0,0.157142857,0.185714286
DE,com,2018,14.645434,504.0,0.792857143,1.428571429
DE,res,2014,9.356419,1539.0,0.0,0.0
DE,res,2016,30.30196551724136,3791.9999999999977,0.0,0.0
DE,res,2018,52.52976666666667,5966.000000000004,0.14285714300000002,0.314285714
FL,com,2014,61.66927999999997,1374.9999999999998,0.0,0.0
FL,com,2016,87.23927999999997,1606.0000000000007,0.1,0.2
FL,com,2018,110.06888608519293,1888.9999999999993,0.35,0.9
FL,res,2014,29.914839999999987,6714.999999999997,0.0,0.0
FL,res,2016,73.94290714334011,12833.999999999995,0.4,0.7
FL,res,2018,230.06960996213607,31384.00000000001,0.9,2.0
GA,com,2014,26.17,280.99999999999994,0.025757576,0.059090909
GA,com,2016,31.61000000000001,435.0000000000003,0.063636364,0.14242424199999998
GA,com,2018,40.845140229885075,450.0,0.110606061,0.257575758
GA,res,2014,3.389999999999999,463.0,0.003030303,0.003030303
GA,res,2016,5.04,779.0000000000005,0.109090909,0.16969697
GA,res,2018,5.662000000000004,844.0000000000001,0.796969697,1.654545455
IA,com,2014,13.742000000000004,508.99999999999983,0.025757576,0.059090909
IA,com,2016,29.94200000000001,904.9999999999997,0.063636364,0.14242424199999998
IA,com,2018,60.3457695402299,1592.0,0.110606061,0.257575758
IA,res,2014,7.059000000000001,675.9999999999994,0.003030303,0.003030303
IA,res,2016,10.948999999999993,1110.0000000000002,0.109090909,0.16969697
IA,res,2018,21.8549459770115,2142.999999999999,0.796969697,1.654545455
ID,com,2014,0.32183908045977005,11.0,0.025757576,0.059090909
ID,com,2016,1.1540229885057491,52.999999999999964,0.063636364,0.14242424199999998
ID,com,2018,3.247482873563221,119.9999999999999,0.110606061,0.257575758
ID,res,2014,0.4724137931034478,82.99999999999997,0.003030303,0.003030303
ID,res,2016,4.953563218390803,656.9999999999998,0.109090909,0.16969697
ID,res,2018,26.90576609195401,3304.0000000000005,0.796969697,1.654545455
IL,com,2014,5.312879999999994,263.00000000000017,0.025757576,0.059090909
IL,com,2016,22.2235,283.9999999999997,0.063636364,0.14242424199999998
IL,com,2018,46.740358045976976,591.0000000000002,0.110606061,0.257575758
IL,res,2014,4.253899999999998,956.0000000000003,0.003030303,0.003030303
